видно	PRED
возможно	ADVB
верно	ADVB
ладно	ADVB
больно	PRED
обидно	PRED
очевидно	PRED
конечно	ADVB
жарко	PRED
удивительно	PRED
неудобно	PRED
светло	PRED
суждено	PRED
неловко	PRED
нехорошо	PRED
совестно	PRED
душно	PRED
рядом	ADVB
вероятно	PRED
худо	PRED
